,단어,분류
74,가격,가격/구입조건
178,가격대,가격/구입조건
179,가격표,가격/구입조건
180,가계약,가격/구입조건
181,가디쉬,실내인테리어
182,가로길이,크기(전장)
183,가로세로,크기(전장)
184,가로축,크기(전장)
185,가속,승차감
186,가속도,승차감
187,가솔,연료타입
33,가솔린,연료타입
188,가솔린차,연료타입
725,가스,연료타입
189,가시광선,첨단/편의사양
190,가시성,첨단/편의사양
191,가액,가격/구입조건
192,가야금,적재함/트렁크 이용편리성
726,가운데,공간
193,가이드라인,첨단/편의사양
727,가정,가격/구입조건
13,가죽,첨단/편의사양
194,가죽,실내인테리어
195,가지각색,가격/구입조건
196,가치,가격/구입조건
728,가치,모델의 명성/평판
1009,가치,품질
197,갈색,외관스타일
198,갈색빛,외관스타일
199,감가,가격/구입조건
200,감가상각,가격/구입조건
604,감가상각,중고차가격
201,감가상각비,가격/구입조건
605,감가상각비,중고차가격
202,감가율,가격/구입조건
203,감속,승차감
204,감지기,첨단/편의사양
205,값,가격/구입조건
206,값어치,가격/구입조건
729,강남,세제/세금혜택
730,강원,세제/세금혜택
731,강자,가격/구입조건
732,강점,가격/구입조건
733,강조,가격/구입조건
207,강판,내구성
734,강화,내구성
735,개발,품질
736,개별,가격/구입조건
140,개선,품질
173,개선,내구성
82,개월,가격/구입조건
127,개월,내구성
739,개인,그회사/브랜드 차의 경험
1011,개인,제조/판매회사와 연고관계
208,개조,실내인테리어
740,개최,신모델/최신모델
209,개통,첨단/편의사양
210,개폐,첨단/편의사양
211,거치대,첨단/편의사양
212,검수,품질
624,검수,내구성
213,검은색,차의 컬러
214,검정,차의 컬러
215,겉모습,외관스타일
592,겉모양,외관스타일
216,게이트,외관스타일
83,견적,가격/구입조건
1012,견적,중고차가격
1482,견적,세제/세금혜택
742,결과,그회사/브랜드 차의 경험
217,결제,가격/구입조건
100,결함,A/S
132,결함,품질
137,결함,내구성
743,결함,안전성
218,경고,안전성
219,경고문,안전성
220,경광,안전성
221,경광봉,안전성
744,경기,세제/세금혜택
222,경보,안전성
223,경보기,안전성
224,경보등,안전성
225,경보음,안전성
606,경보음,첨단/편의사양
745,경영,제조회사/브랜드
31,경유,연료타입
746,경쟁,신모델/최신모델
1014,경쟁,제조회사/브랜드
157,경쟁력,모델의 명성/평판
226,경정비,A/S
747,경제,가격/구입조건
6,경차,크기(전장)
1015,경차,내구성
227,경첩,품질
749,경품,가격/구입조건
1016,경품,광고/PR
750,경향,모델의 명성/평판
228,계기판,품질
607,계기판,실내인테리어
92,계약,가격/구입조건
751,계약,제조/판매회사와 연고관계
1017,계약,제조회사/브랜드
229,계약금,가격/구입조건
230,계약서,가격/구입조건
231,계약자,가격/구입조건
752,고객,그회사/브랜드 차의 경험
9,고급,첨단/편의사양
232,고급,품질
753,고급,외관스타일
1018,고급,광고/PR
233,고기능,품질
754,고민,A/S
1019,고민,품질
234,고성능,기본사양
1476,고성능,첨단/편의사양
235,고장,품질
625,고장,내구성
236,고출력,엔진배기량/힘
237,고화질,첨단/편의사양
238,곡선,외관스타일
239,골드,차의 컬러
240,골프채,적재함/트렁크 이용편리성
608,골프채,공간
241,곰팡이,품질
609,곰팡이,내구성
66,공간,공간
171,공간,승차감
610,공간,적재함/트렁크 이용편리성
1020,공간,실내인테리어
242,공간성,공간
41,공개,신모델/최신모델
243,공과금,가격/구입조건
611,공과금,세제/세금혜택
757,공급,A/S
1021,공급,품질
758,공략,제조회사/브랜드
1022,공략,광고/PR
244,공명음,정숙성(소음/잡음)
759,공식,제조회사/브랜드
1023,공식,제조/판매회사와 연고관계
760,공유,그회사/브랜드 차의 경험
1024,공유,모델의 명성/평판
245,공임,A/S
761,공장,제조/판매회사와 연고관계
246,공진,정숙성(소음/잡음)
762,관련,제조회사/브랜드
247,관리비,가격/구입조건
248,관색,실내인테리어
763,관심,신모델/최신모델
1025,관심,첨단/편의사양
249,광고,광고/PR
250,광택,외관스타일
251,광택기,외관스타일
252,광택제,외관스타일
253,굉음,정숙성(소음/잡음)
254,교체,A/S
626,교체,품질
714,교체,내구성
255,교환,A/S
765,구간,승차감
1026,구간,정숙성(소음/잡음)
766,구동,엔진배기량/힘
256,구동력,엔진배기량/힘
257,구동방식,엔진배기량/힘
258,구동축,엔진배기량/힘
71,구매,가격/구입조건
768,구성,내구성
259,구조,실내인테리어
627,구조,공간
769,구축,내구성
770,국내,제조회사/브랜드
771,국산,제조회사/브랜드
1027,국산,신모델/최신모델
260,군청색,차의 컬러
